playerID,inducted,W,L,CG,SHO,SV,H_allowed,ER,HR_allowed,BB_allowed,StruckOut,BAOpp,ERA,WP,HitBatsmen,BK,R_allowed,SH_allowed,SF_allowed,GIDP_pitcher,award_count
guidrro01,N,170,91,95,26,4,2198,874,226,633,1778,0.248928571428571,3.54142857142857,56,13,8,953,70,65,172,13
haddiha01,N,136,113,99,20,21,2154,901,240,601,1575,0.246,3.65266666666667,58,43,3,1012,0,0,0,3
haineje01,Y,210,158,208,24,10,3460,1298,165,871,981,0.277368421052632,3.63947368421053,55,57,6,1556,0,0,0,2
hallabi01,N,102,94,90,14,8,1838,779,71,779,856,0.278461538461538,4.31384615384615,71,8,4,915,0,0,0,2
hamptmi01,N,148,115,21,9,1,2370,1024,200,901,1387,0.276375,4.170625,75,49,13,1157,107,69,289,9
hardeme01,N,223,186,181,25,23,3706,1447,161,1118,1160,0.2755,4.0625,33,59,2,1714,0,0,0,2
henketo01,N,41,42,0,0,311,607,234,64,255,861,0.220571428571429,2.775,30,9,3,252,27,30,36,1
hentgpa01,N,131,112,34,10,1,2111,996,269,775,1290,0.263428571428571,4.575,66,49,10,1076,57,60,171,3
hernali01,N,178,177,50,9,1,3525,1572,362,1066,1976,0.288772727272727,4.55954545454545,41,78,13,1686,174,118,299,3
hernawi01,N,70,63,0,0,147,952,392,97,349,788,0.250714285714286,3.59214285714286,37,25,10,431,65,36,72,4
hershor01,N,204,150,68,25,5,2939,1211,235,1007,2014,0.257055555555556,4.05722222222222,121,117,23,1366,124,73,314,10
hillejo01,N,87,76,13,6,125,1040,391,110,535,1036,0.235133333333333,3.148,39,12,1,438,56,45,57,2
hoffmtr01,Y,61,75,0,0,601,846,347,100,307,1133,0.212631578947368,2.92631578947368,49,9,0,378,32,30,60,8
holtzke01,N,174,150,127,31,3,2787,1111,249,910,1601,0.257058823529412,3.68470588235294,98,49,2,1273,76,47,116,1
hoopeha01,Y,0,0,0,0,0,2,0,0,1,0,0.33,0,0,0,0,0,0,0,0,1
hootobu01,N,151,136,86,29,7,2497,996,193,799,1491,0.251875,3.675625,62,20,4,1112,125,76,158,1
houttar01,N,87,91,78,14,20,1646,715,136,516,639,0.300714285714286,5.85071428571429,15,40,1,810,0,0,0,1
hoytwa01,Y,237,182,226,26,52,4037,1500,154,1003,1206,0.2676,3.7704,39,49,5,1780,0,0,0,3
hraboal01,N,64,35,0,0,97,619,249,50,315,548,0.227846153846154,2.76692307692308,36,13,1,284,41,39,45,1
hubbeca01,Y,253,154,260,36,33,3461,1188,227,725,1677,0.248125,3.13625,53,53,1,1380,0,0,0,22
hunteca01,Y,224,166,181,42,1,2958,1248,374,954,2012,0.233333333333333,3.476,49,49,7,1380,86,73,77,3
jacksda02,N,112,131,44,15,1,2110,923,133,816,1225,0.280588235294118,4.64764705882353,47,50,12,1061,117,68,208,2
jenkife01,Y,284,226,267,49,7,4142,1669,484,997,3192,0.2418,3.389,62,84,18,1853,131,106,166,5
johnsra05,Y,303,166,100,37,2,3346,1513,411,1497,4875,0.225166666666667,3.48083333333333,109,190,33,1703,131,89,251,13
johnswa01,Y,417,279,531,110,34,4913,1424,97,1363,3509,0.228823529411765,2.34809523809524,155,203,4,1902,0,0,0,33
johnto01,N,288,231,162,46,4,4783,1749,302,1259,2245,0.271178571428571,3.48892857142857,187,98,16,2017,156,78,383,3
jonesdo01,N,69,79,0,0,303,1155,414,86,247,909,0.273166666666667,3.81111111111111,18,39,6,465,56,38,87,1
jonesra01,N,100,123,73,19,2,1915,735,129,503,735,0.2664,3.704,19,18,6,875,120,56,209,4
jonesto02,N,58,63,0,0,319,1072,473,93,443,868,0.269526315789474,4.16157894736842,43,38,1,518,48,38,117,2
jossad01,Y,160,97,234,45,5,1888,488,19,364,920,,1.91555555555556,28,58,1,730,0,0,0,1
kaatji01,N,283,237,180,31,18,4620,1738,395,1083,2461,0.274321428571429,4.10071428571429,128,122,6,2038,93,80,194,19
keefeti01,Y,342,225,554,39,2,4438,1474,75,1233,2564,,2.86,240,98,0,2470,0,0,0,1
kellyge01,Y,1,0,0,0,0,4,0,0,1,2,0.21,0,0,0,0,0,0,0,0,5
