playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,PO,A,E,DP,award_count
keyji01,N,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,172,452,22,35,5
killebi01,N,237,751,86,21,4,240,39,8,113,159,0,102,0,0,0.238412698412698,4833,1319,148,129,4
killeha01,Y,1283,2086,290,24,573,1584,19,18,1559,1699,160,0,77,243,0.256045170001227,8849,1963,215,767,8
kindeel01,N,34,63,7,1,1,33,0,1,23,123,0,29,0,10,0.141891891891892,52,174,9,11,2
kinerra01,Y,971,1451,216,39,369,1015,22,2,1011,749,1,9,7,126,0.278770413064361,3431,109,91,73,10
kingmda01,N,901,1575,240,25,442,1210,85,49,608,1816,72,16,75,139,0.235884379212221,5835,693,174,408,2
kleinch01,Y,1168,2076,398,74,300,1201,79,0,601,521,0,69,0,55,0.320074005550416,3250,194,135,39,11
klingjo01,N,475,1154,181,61,20,515,124,0,281,327,0,106,0,0,0.271785209609044,5577,1564,217,132,4
kluszte01,N,848,1766,290,29,279,1028,20,10,492,365,70,3,23,143,0.297857986169674,12652,799,97,1269,3
knighra01,N,490,1311,266,27,84,595,14,25,343,579,43,22,61,169,0.271484779457445,3669,1858,131,421,3
knoblch01,N,1132,1839,322,64,98,615,407,117,804,730,22,20,56,116,0.288878416588124,2852,3844,125,840,6
koufasa01,Y,26,75,9,0,2,28,0,1,43,386,0,35,3,10,0.0966494845360825,64,228,14,13,22
kremera01,N,57,122,30,2,5,69,0,0,37,213,0,36,0,0,0.177583697234352,37,331,10,12,3
kressre01,N,691,1454,298,58,89,799,47,56,474,453,0,97,0,18,0.285826616866522,3987,2945,343,748,1
kuennha01,N,951,2092,356,56,87,671,68,56,594,404,39,44,52,143,0.302618255460726,3028,2345,191,468,2
lajoina01,Y,1504,3243,657,163,82,1599,380,21,516,321,0,221,0,0,0.338164754953076,8520,6691,518,1211,5
langsma01,N,5,14,3,0,0,5,0,0,2,38,0,5,1,0,0.152173913043478,127,493,39,33,7
lansfca01,N,1007,2074,332,40,151,874,224,104,553,719,45,53,77,166,0.28974573903325,2098,2847,153,311,3
larkiba01,Y,1329,2340,441,76,198,960,379,77,939,817,66,59,67,178,0.294821721053295,3154,5864,235,1093,24
larsedo01,N,65,144,25,5,14,72,0,3,43,138,0,11,3,15,0.241610738255034,95,244,17,22,2
lasorto01,Y,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0.0714285714285714,3,10,1,0,1
lavagco01,N,487,945,183,37,40,486,63,0,485,244,0,33,0,86,0.269307495012824,1364,1940,197,237,1
lawve01,N,96,191,35,7,11,90,1,0,41,179,0,63,7,24,0.216308040770102,213,453,19,41,4
lazzeto01,Y,986,1840,334,115,178,1191,148,79,869,864,0,116,0,8,0.292202636175957,3688,4944,314,873,4
leachto01,N,1355,2143,266,172,63,810,361,14,820,666,0,240,0,0,0.269254931524061,4008,2460,459,168,3
leeca01,N,1125,2273,469,19,358,1363,125,47,655,984,60,3,98,206,0.284730051359138,4987,294,63,195,3
leede02,N,1081,1959,432,30,331,1078,104,48,874,1622,72,2,55,199,0.28138465958058,14910,1367,98,1442,4
leiteal01,N,15,45,7,1,0,16,0,0,35,290,0,48,0,10,0.0849056603773585,57,286,14,25,3
lemonbo01,Y,148,274,54,9,37,147,2,1,93,241,0,49,3,9,0.231614539306847,298,713,33,80,9
leonade01,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,135,292,24,28,1
leonadu02,N,53,177,18,4,0,69,1,0,20,183,0,85,0,27,0.167931688804554,174,719,32,41,2
leonaje01,N,614,1342,223,37,144,723,163,61,342,1000,41,8,58,146,0.266005946481665,2191,81,62,24,1
lidgebr01,N,0,2,1,0,0,2,0,0,0,4,0,0,0,0,0.285714285714286,23,48,5,4,3
lindsfr01,Y,895,1747,301,81,103,779,84,10,334,276,0,146,0,35,0.311352700053466,2177,1628,136,150,4
loberha01,N,640,1252,159,82,32,482,316,15,395,302,0,231,0,0,0.274380889765505,1775,2192,247,159,2
loducpa01,N,483,1112,222,8,80,481,20,19,266,295,23,42,44,138,0.285714285714286,6879,532,75,112,1
loftoke01,N,1528,2428,383,116,130,781,622,160,945,1016,43,72,65,111,0.299014778325123,4856,142,79,35,4
lolicmi01,N,63,90,5,2,0,31,1,1,105,362,0,85,1,20,0.109622411693057,100,448,38,16,2
lombaer01,Y,601,1792,277,27,190,990,8,0,430,262,0,18,0,261,0.306063193851409,5694,845,143,107,4
lonboji01,N,41,105,17,2,3,43,1,2,51,330,0,78,2,10,0.136363636363636,189,268,22,18,3
lopesda01,N,1023,1671,232,50,155,614,557,114,833,852,38,74,48,126,0.262983947119924,3558,3931,177,822,3
lopezal01,Y,613,1547,206,43,51,652,46,1,556,538,0,121,0,137,0.261494252873563,6654,1126,123,140,3
lopezja01,N,674,1527,267,19,260,864,8,19,357,969,43,6,45,172,0.287084038353074,8991,631,73,78,3
lowelmi01,N,771,1619,394,7,223,952,30,14,548,817,45,1,84,170,0.278513676242904,1468,2725,104,340,3
lucasre01,N,155,404,61,13,3,190,2,0,124,133,0,41,0,14,0.280750521195274,125,550,16,39,2
luquedo01,N,96,237,31,10,5,90,7,4,70,114,0,65,0,1,0.227229146692234,188,787,43,36,2
luzingr01,N,880,1795,344,24,307,1128,37,31,845,1495,95,1,79,147,0.275941583397387,2120,105,57,26,4
lylesp01,N,8,15,2,0,0,4,1,0,5,26,0,5,0,0,0.192307692307692,54,198,21,12,2
lynnfr01,N,1063,1960,388,43,306,1111,72,54,857,1116,77,25,86,149,0.283032490974729,4556,114,55,33,12
lyonste01,Y,162,364,49,9,5,149,0,1,73,201,0,83,0,9,0.232885476647473,219,943,51,57,8
maddoga01,N,777,1802,337,62,117,754,248,92,323,781,60,25,60,99,0.284631179908387,4449,94,78,21,9
maddugr01,Y,103,272,35,2,5,84,11,3,34,419,0,180,2,15,0.170961659333752,546,1194,53,98,31
madlobi01,N,920,2008,348,34,163,860,174,90,605,510,121,36,69,190,0.304519259933273,1694,3025,222,313,2
mageesh01,N,1112,2169,425,166,83,1176,441,12,736,624,0,260,0,0,0.291493078887246,5135,433,168,115,4
maglisa01,N,29,76,5,1,2,29,1,0,20,180,0,57,2,13,0.134991119005329,96,280,10,26,1
mantlmi01,Y,1677,2415,344,72,536,1509,153,38,1733,1710,126,14,47,113,0.298074549493952,6734,290,107,201,15
manushe01,Y,1287,2524,491,160,110,1183,114,58,506,345,0,186,0,11,0.329762215834858,3842,105,83,26,5
maranra01,Y,1255,2605,380,177,28,884,291,93,839,756,0,300,0,21,0.258483826155983,6413,8967,711,1495,7
maricju01,Y,73,202,29,2,4,75,2,5,38,269,0,71,7,20,0.165438165438165,291,577,47,27,5
marioma01,N,602,1448,272,37,36,624,35,2,470,537,0,151,0,120,0.262985833636033,2987,4829,252,978,12
marisro01,N,826,1325,195,42,275,851,21,9,652,733,42,12,43,75,0.25975298960988,2649,76,49,15,8
marquru01,Y,63,198,17,3,1,64,6,1,33,208,0,48,0,0,0.178861788617886,63,697,39,27,1
marshmi01,N,11,35,1,0,1,16,0,0,17,33,0,18,2,2,0.195530726256983,105,283,15,25,5
martibi02,N,425,877,137,28,64,333,34,29,188,355,8,55,23,96,0.256507750804329,2022,2252,109,613,1
martied01,N,1219,2247,514,15,309,1261,49,30,1283,1202,113,10,77,190,0.311520865104672,566,1025,81,107,10
