playerID,yearID,stint,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
dottedu01,9795,5,101,82.0,2229.0,443,47,6.0,6,7.0,17.0,44.0,21.0,4.0
dottega01,5888,3,7,0.0,37.0,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0
dotyba01,1890,1,1,0.0,27.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
doubrfe01,16104,10,118,85.0,1541.0,23,62,6.0,5,0.0,0.0,0.0,0.0,0.0
doughch01,5652,3,25,0.0,699.0,61,47,17.0,2,0.0,0.0,0.0,0.0,0.0
doughji01,7988,4,79,0.0,284.0,6,22,0.0,6,0.0,0.0,0.0,0.0,0.0
doughpa01,26682,16,1183,873.0,29796.0,1780,118,133.0,20,0.0,0.0,0.0,0.0,0.0
doughto01,1904,1,1,0.0,6.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0
douglas01,3846,2,11,0.0,0.0,16,9,2.0,0,1.0,0.0,0.0,0.0,0.0
dougljo01,1945,1,4,0.0,0.0,33,0,1.0,1,0.0,0.0,0.0,0.0,0.0
douglkl01,43683,23,739,3.0,18168.0,4093,474,137.0,175,66.0,0.0,408.0,233.0,0.0
douglla01,1915,1,2,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0
douglph01,23007,16,299,0.0,0.0,61,521,32.0,18,0.0,0.0,0.0,0.0,0.0
douglse01,10015,5,54,31.0,623.0,14,18,0.0,4,0.0,0.0,0.0,0.0,0.0
douglwh01,1957,1,11,8.0,138.0,4,6,1.0,0,0.0,0.0,0.0,0.0,0.0
doumiry01,44208,22,699,656.0,17152.0,3393,310,54.0,58,40.0,0.0,351.0,108.0,0.0
douthta01,23139,14,1036,0.0,0.0,3109,70,91.0,21,0.0,0.0,0.0,0.0,0.0
dovede01,2007,1,3,0.0,9.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dowcl01,1884,1,1,0.0,39.0,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0
